ch_name,x,y,z,source
Fp1,-0.0294367,0.0839171,-0.00699,standard_1005
AF7,-0.0548397,0.0685722,-0.01059,standard_1005
AF3,-0.0337007,0.0768371,0.021227,standard_1005
F1,-0.0274958,0.0569311,0.060342,standard_1005
F3,-0.0502438,0.0531112,0.042192,standard_1005
F5,-0.0644658,0.0480352999999999,0.016921,standard_1005
F7,-0.0702629,0.0424743,-0.01142,standard_1005
FT7,-0.080775,0.0141203,-0.0111349999999999,standard_1005
FC5,-0.0772149,0.0186433,0.02446,standard_1005
FC3,-0.0601818999999999,0.0227162,0.0555439999999999,standard_1005
FC1,-0.0340619,0.0260111,0.0799869999999999,standard_1005
C1,-0.036158,-0.0099839,0.089752,standard_1005
C3,-0.0653580999999999,-0.0116317,0.064358,standard_1005
C5,-0.0802801,-0.0137597,0.02916,standard_1005
T7,-0.0841611,-0.0160187,-0.009346,standard_1005
TP7,-0.0848302,-0.0460217,-0.007056,standard_1005
CP5,-0.0795922,-0.0465507,0.030949,standard_1005
CP3,-0.0635562,-0.0470088,0.065624,standard_1005
CP1,-0.0355131,-0.0472919,0.091315,standard_1005
P1,-0.0286203,-0.0805249,0.075436,standard_1005
P3,-0.0530073,-0.0787878,0.05594,standard_1005
P5,-0.0672723,-0.0762907,0.028382,standard_1005
P7,-0.0724343,-0.0734527,-0.002487,standard_1005
P9,-0.0730093,-0.0737656999999999,-0.040998,standard_1005
PO7,-0.0548404,-0.0975279,0.0027919999999999,standard_1005
PO3,-0.0365114,-0.1008529,0.037167,standard_1005
O1,-0.0294134,-0.112449,0.008839,standard_1005
Iz,4.499999999999999e-06,-0.118565,-0.0230779999999999,standard_1005
Oz,0.0001076,-0.114892,0.014657,standard_1005
POz,0.0002156,-0.1021779999999999,0.050608,standard_1005
Pz,0.0003247,-0.0811149999999999,0.082615,standard_1005
CPz,0.0003858,-0.047318,0.099432,standard_1005
Fpz,0.0001122999999999,0.088247,-0.001713,standard_1005
Fp2,0.0298722999999999,0.0848959,-0.00708,standard_1005
AF8,0.0557432999999999,0.0696568,-0.010755,standard_1005
AF4,0.0357123,0.0777259,0.021956,standard_1005
AFz,0.0002313,0.080771,0.035417,standard_1005
Fz,0.0003122,0.058512,0.066462,standard_1005
F2,0.0295141999999999,0.0576019,0.0595399999999999,standard_1005
F4,0.0518362,0.0543048,0.040814,standard_1005
F6,0.0679142,0.0498297,0.016367,standard_1005
F8,0.0730431,0.0444217,-0.012,standard_1005
FT8,0.0818151,0.0154167,-0.01133,standard_1005
FC6,0.0795341,0.0199357,0.0244379999999999,standard_1005
FC4,0.0622931,0.0237228,0.05563,standard_1005
FC2,0.0347841,0.0264379,0.078808,standard_1005
FCz,0.0003761,0.02739,0.088668,standard_1005
Cz,0.0004009,-0.009167,0.100244,standard_1005
C2,0.037672,-0.0096241,0.088412,standard_1005
C4,0.0671179,-0.0109003,0.06358,standard_1005
C6,0.0834559,-0.0127763,0.0292079999999999,standard_1005
T8,0.0850799,-0.0150203,-0.00949,standard_1005
TP8,0.0855488,-0.0455453,-0.00713,standard_1005
CP6,0.0833218,-0.0461013,0.031206,standard_1005
CP4,0.0666118,-0.0466372,0.06558,standard_1005
CP2,0.0383838,-0.0470731,0.090695,standard_1005
P2,0.0319197,-0.0804870999999999,0.0767159999999999,standard_1005
P4,0.0556667,-0.0785602,0.056561,standard_1005
P6,0.0678877,-0.0759043,0.028091,standard_1005
P8,0.0730557,-0.0730682999999999,-0.00254,standard_1005
P10,0.0738947,-0.0743902999999999,-0.04122,standard_1005
PO8,0.0556666,-0.0976251,0.00273,standard_1005
PO4,0.0367816,-0.1008491,0.036397,standard_1005
O2,0.0298426,-0.112156,0.0088,standard_1005
