ch_name,x,y,z,source
Fp1,-0.0294367,0.08391710000000001,-0.0069900000000000006,standard_1005
Fp2,0.029872299999999997,0.0848959,-0.00708,standard_1005
F7,-0.0702629,0.0424743,-0.01142,standard_1005
F3,-0.0502438,0.0531112,0.042192,standard_1005
Fz,0.0003122,0.058512,0.06646200000000001,standard_1005
F4,0.0518362,0.0543048,0.040814,standard_1005
F8,0.0730431,0.0444217,-0.012,standard_1005
FC5,-0.0772149,0.0186433,0.024460000000000003,standard_1005
FC1,-0.0340619,0.0260111,0.07998699999999999,standard_1005
FC2,0.034784100000000005,0.0264379,0.078808,standard_1005
FC6,0.0795341,0.0199357,0.024437999999999998,standard_1005
T7,-0.0841611,-0.0160187,-0.009346,standard_1005
C3,-0.06535809999999999,-0.0116317,0.064358,standard_1005
Cz,0.0004009,-0.009167,0.100244,standard_1005
C4,0.06711790000000001,-0.0109003,0.06358,standard_1005
T8,0.0850799,-0.0150203,-0.00949,standard_1005
TP9,-0.0856192,-0.0465147,-0.045707,standard_1005
CP5,-0.0795922,-0.0465507,0.030949,standard_1005
CP1,-0.0355131,-0.0472919,0.091315,standard_1005
CP2,0.0383838,-0.0470731,0.090695,standard_1005
CP6,0.0833218,-0.046101300000000005,0.031206,standard_1005
TP10,0.0861618,-0.0470353,-0.045869,standard_1005
P7,-0.0724343,-0.0734527,-0.002487,standard_1005
P3,-0.0530073,-0.0787878,0.05594,standard_1005
Pz,0.0003247,-0.08111499999999999,0.082615,standard_1005
P4,0.0556667,-0.0785602,0.056561,standard_1005
P8,0.0730557,-0.07306829999999999,-0.00254,standard_1005
PO9,-0.054910400000000005,-0.0980448,-0.035465,standard_1005
O1,-0.0294134,-0.112449,0.008839,standard_1005
Oz,0.0001076,-0.114892,0.014657,standard_1005
O2,0.0298426,-0.112156,0.0088,standard_1005
PO10,0.0549876,-0.0980911,-0.035540999999999996,standard_1005
FC3,-0.060181899999999997,0.0227162,0.055543999999999996,standard_1005
FC4,0.062293100000000004,0.0237228,0.055630000000000006,standard_1005
C5,-0.08028010000000001,-0.0137597,0.02916,standard_1005
C1,-0.036158,-0.0099839,0.089752,standard_1005
C2,0.037672,-0.0096241,0.088412,standard_1005
C6,0.0834559,-0.0127763,0.029207999999999998,standard_1005
CP3,-0.0635562,-0.0470088,0.065624,standard_1005
CPz,0.0003858,-0.047318,0.099432,standard_1005
CP4,0.0666118,-0.0466372,0.06558,standard_1005
P1,-0.0286203,-0.0805249,0.075436,standard_1005
P2,0.0319197,-0.08048709999999999,0.07671599999999999,standard_1005
POz,0.0002156,-0.10217799999999999,0.050608,standard_1005
FT9,-0.08407590000000001,0.0145673,-0.050429,standard_1005
FTT9h,-0.084125,-0.0018467,-0.029794,standard_1005
TTP7h,-0.0855651,-0.0306287,0.011153,standard_1005
TP7,-0.08483020000000001,-0.046021700000000006,-0.007056,standard_1005
TPP9h,-0.0781602,-0.060756700000000004,-0.023824,standard_1005
FT10,0.0841131,0.0143647,-0.050538,standard_1005
FTT10h,0.084123,-0.0018083,-0.029638,standard_1005
TPP8h,0.0785198,-0.0604323,0.012901999999999999,standard_1005
TP8,0.0855488,-0.0455453,-0.00713,standard_1005
TPP10h,0.07890269999999999,-0.060955300000000004,-0.023805,standard_1005
F9,-0.0701019,0.041652299999999996,-0.049951999999999996,standard_1005
F10,0.07211409999999999,0.0420667,-0.050452,standard_1005
AF7,-0.0548397,0.0685722,-0.01059,standard_1005
AF3,-0.0337007,0.0768371,0.021227,standard_1005
AF4,0.0357123,0.0777259,0.021956,standard_1005
AF8,0.055743299999999996,0.0696568,-0.010755,standard_1005
PO3,-0.0365114,-0.10085290000000001,0.037167,standard_1005
PO4,0.0367816,-0.10084910000000001,0.036397,standard_1005
